ID,Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,Approx_Server_Power(Watts),Cooling_Unit_Power_Consumption(Watts),PUE
1,2025-01-01 00:00:00,100.0,24.72632281593243,28.469323873263708,21.42445350887121,0.98,94.20585896690616,45.46291098823596,0.09,2.58,Reduce AHU,1,1440.0,980.0,1.6805555555555556
2,2025-01-01 01:00:00,87.35899263047313,23.08526213531408,29.85436366471003,26.420270951892125,0.95,85.77699619269852,53.185858261949576,0.1,2.42,Eco Mode,4,1284.5156093548194,950.0,1.739578400668219
3,2025-01-01 02:00:00,19.31379966079001,16.288791406000026,23.38184600676756,21.45217187808368,0.43,28.148671834157703,40.833469322981934,0.06,2.55,Eco Mode,4,447.55973582771713,430.0,1.9607656041818815
4,2025-01-01 03:00:00,41.40667955013878,19.217280242427403,24.32369857972349,19.200411971860184,0.61,49.30022744992615,42.49092164047445,0.08,4.8,Boost All,3,719.3021584667069,610.0,1.848044167280549
5,2025-01-01 04:00:00,49.514888570773024,19.991739982875472,23.20554343728745,26.7685031566425,0.69,49.65612686523112,58.10088982561873,0.1,2.77,Eco Mode,4,819.0331294205082,690.0,1.8424567642192897
6,2025-01-01 05:00:00,50.2218958956809,19.0734436931662,22.237347158581848,27.58365461682685,0.69,49.05233142779775,58.55161088125232,0.07,3.58,Boost All,3,827.7293195168751,690.0,1.8336058464169611
7,2025-01-01 06:00:00,36.09672536701581,18.655843599517898,23.00747270037926,18.0,0.5,40.12962584114472,35.56276410068109,0.06,6.0,Maintain,2,653.9897220142944,500.0,1.7645380090378107
8,2025-01-01 07:00:00,53.26393548771748,19.47800594347663,22.65609861516216,23.431236624196917,0.7,59.68979063958502,45.39935452675918,0.09,0.57,Boost All,3,865.1464064989251,700.0,1.8091116078638763
9,2025-01-01 08:00:00,95.95380398837662,24.535217804113127,33.83406110738038,23.863866756660634,0.96,93.72293440373566,42.84128757255475,0.13,0.14,Reduce AHU,1,1390.2317890570323,960.0,1.6905323324905046
10,2025-01-01 09:00:00,57.35860653362174,22.01576264158844,23.508595267362114,19.101937636095847,0.74,66.73633177363368,42.02489987117692,0.08,4.9,Increase Chiller,0,915.5108603635474,740.0,1.8082918860254127
